epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.7963,2.21913,1.01961,0.68997,2.58054,2.09769,0.98209,0.875,0.971,0.69562,0.98209,0.875,0.971,0.78461,1.07112,0.89428,0.70396,0.91624,1.29367,0.0003,0.0003,0.0003
2,123.786,1.7603,0.60251,0.59353,1.42894,1.62522,0.81544,0.75,0.775,0.25067,0.95238,0.875,0.88071,0.67712,2.37886,1.01872,0.69305,1.49207,2.59772,0.000607724,0.000607724,0.000607724
3,184.594,1.58667,0.43658,0.48466,1.27277,1.58651,0.96078,0.875,0.92833,0.47456,0.96078,0.875,0.92833,0.75537,1.84305,0.77218,0.54878,1.18646,1.99328,0.000902776,0.000902776,0.000902776
4,245.212,1.68573,0.3682,0.50927,1.32252,1.61745,0.97998,1,0.995,0.4126,0.97998,1,0.995,0.89885,1.71294,0.69179,0.49643,1.39344,1.65057,0.00118516,0.00118516,0.00118516
5,305.93,1.71867,0.34012,0.47996,1.33979,1.63543,0.97831,1,0.995,0.38507,0.97831,1,0.995,0.7941,1.73506,1.04608,0.339,1.46082,1.65275,0.00145486,0.00145486,0.00145486
6,366.727,1.55617,0.28263,0.40735,1.26867,1.54344,0.72446,1,0.92682,0.39733,0.72446,1,0.92682,0.83902,1.69837,0.46652,0.24254,2.47394,1.84518,0.0017119,0.0017119,0.0017119
7,427.59,1.55094,0.29278,0.4156,1.28455,1.51672,0.88418,0.95764,0.98167,0.49979,0.88418,0.95764,0.98167,0.85636,1.50392,0.55606,0.17457,4.36385,1.59387,0.0017624,0.0017624,0.0017624
8,490.458,1.61623,0.2216,0.35548,1.18829,1.57056,0.98002,1,0.995,0.59345,0.98002,1,0.995,0.85564,1.4203,0.54111,0.08406,1.09579,1.47815,0.0017228,0.0017228,0.0017228
9,556.586,1.61337,0.22699,0.33422,1.17185,1.57558,1,0.99988,0.995,0.55321,1,0.99988,0.995,0.96798,1.4058,0.33085,0.13778,1.36523,1.51253,0.0016832,0.0016832,0.0016832
10,619.166,1.51546,0.18316,0.31248,1.18624,1.53142,0.95273,1,0.995,0.70631,0.95273,1,0.995,0.94101,1.12503,0.30298,0.07992,1.9005,1.29152,0.0016436,0.0016436,0.0016436
11,680.169,1.54558,0.19348,0.32746,1.15307,1.54487,0.97421,1,0.995,0.60658,0.97421,1,0.995,0.91417,1.36319,0.48724,0.05622,1.79546,1.46881,0.001604,0.001604,0.001604
12,741.074,1.51525,0.19113,0.29226,1.1507,1.48113,0.99818,1,0.995,0.59212,0.99818,1,0.995,0.94562,1.42527,0.2645,0.04312,1.04383,1.494,0.0015644,0.0015644,0.0015644
13,801.967,1.43029,0.16431,0.30811,1.04539,1.46246,0.99069,1,0.995,0.52675,0.99069,1,0.995,0.995,1.5218,0.18413,0.04191,1.37136,1.51317,0.0015248,0.0015248,0.0015248
14,863.06,1.51267,0.15842,0.28677,1.04024,1.47687,0.98786,1,0.995,0.64577,0.98786,1,0.995,0.995,1.1345,0.14339,0.05155,0.97528,1.21614,0.0014852,0.0014852,0.0014852
