epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2726,2.5511,1.79168,0.73172,4.01864,2.29315,0.31601,0.40645,0.37817,0.16255,0.31601,0.40645,0.41335,0.2685,2.01462,1.06698,0.71483,2.50884,2.01774,4e-05,4e-05,4e-05
2,22.8914,2.4017,1.3805,0.70268,2.78778,2.20397,0.98922,0.875,0.955,0.43373,0.96312,0.875,0.98167,0.76105,2.08589,1.04307,0.7194,1.11315,1.89312,9.802e-05,9.802e-05,9.802e-05
3,33.3025,1.99416,1.42696,0.70945,1.53272,1.83165,0.98225,1,0.995,0.51767,0.98225,1,0.995,0.80019,1.87538,1.08906,0.72701,1.13183,1.72686,0.000153664,0.000153664,0.000153664
4,43.713,1.41485,1.28789,0.71366,1.15102,1.33396,0.98195,1,0.995,0.6086,0.98195,1,0.995,0.79781,1.45203,0.97671,0.72249,0.9934,1.4178,0.000206932,0.000206932,0.000206932
5,54.245,1.30836,0.95555,0.68547,0.97148,1.28528,0.88102,1,0.98167,0.64363,0.88102,1,0.98167,0.77282,1.41764,0.92352,0.71133,0.92798,1.50505,0.000257824,0.000257824,0.000257824
6,64.3306,1.46031,0.86031,0.57638,0.92706,1.33666,0.99285,1,0.995,0.65318,0.99285,1,0.995,0.73884,1.36427,0.93279,0.7066,0.831,1.54545,0.00030634,0.00030634,0.00030634
7,74.0595,1.35828,0.64762,0.65536,0.81251,1.34981,0.99199,1,0.995,0.6844,0.99199,1,0.995,0.74962,1.26603,0.93791,0.70188,0.72925,1.29559,0.00035248,0.00035248,0.00035248
8,83.9376,1.16683,0.68618,0.61334,0.79917,1.16164,0.99255,1,0.995,0.71857,0.99255,1,0.995,0.75902,1.26221,0.88237,0.69953,0.63911,1.29162,0.000396244,0.000396244,0.000396244
9,93.7361,1.26094,0.67305,0.56262,0.7965,1.22472,0.99188,1,0.995,0.55318,0.99188,1,0.995,0.89815,1.56648,0.75717,0.68893,1.01097,1.30923,0.000437632,0.000437632,0.000437632
10,103.482,1.46287,0.58014,0.57317,1.01008,1.31057,0.99337,1,0.995,0.54966,0.99337,1,0.995,0.86524,1.50248,0.72632,0.6829,0.90274,1.32866,0.000476644,0.000476644,0.000476644
11,113.26,1.30017,0.52911,0.54645,0.89144,1.22749,0.96909,1,0.995,0.77091,0.96909,1,0.995,0.87972,1.03425,0.69049,0.67351,0.66894,1.20143,0.00051328,0.00051328,0.00051328
12,123.191,1.61493,0.45055,0.59016,1.10808,1.58687,0.99247,1,0.995,0.6912,0.99247,1,0.995,0.85589,1.17495,0.6712,0.66641,0.67332,1.28907,0.00054754,0.00054754,0.00054754
13,132.908,1.31354,0.40311,0.58033,0.92218,1.29537,0.991,1,0.995,0.72862,0.991,1,0.995,0.86299,1.07079,0.66682,0.64938,0.70407,1.14167,0.000579424,0.000579424,0.000579424
14,142.639,1.29132,0.55168,0.54508,0.89565,1.24173,0.9931,1,0.995,0.75713,0.9931,1,0.995,0.8758,1.04631,0.63202,0.63318,0.71374,1.15623,0.000608932,0.000608932,0.000608932
15,152.425,1.30295,0.48972,0.52987,0.79506,1.25072,0.99311,1,0.995,0.70519,0.99311,1,0.995,0.8955,1.16069,0.58879,0.6066,0.62191,1.27353,0.000636064,0.000636064,0.000636064
16,162.216,1.26647,0.50757,0.48174,0.75959,1.23094,0.99286,1,0.995,0.73171,0.99286,1,0.995,0.8955,1.16606,0.58868,0.59825,0.61687,1.24188,0.00066082,0.00066082,0.00066082
17,171.933,1.34437,0.45834,0.47178,0.7642,1.20412,0.99077,1,0.995,0.74337,0.99077,1,0.995,0.90667,1.10744,0.56263,0.58464,0.78823,1.16471,0.0006832,0.0006832,0.0006832
18,181.799,1.2517,0.35641,0.47535,0.75124,1.20941,0.95122,1,0.995,0.70426,0.95122,1,0.995,0.95242,1.03565,0.53518,0.58204,0.85911,1.12086,0.000703204,0.000703204,0.000703204
19,191.627,1.22596,0.44281,0.62159,0.87726,1.2683,0.99264,1,0.995,0.72146,0.99264,1,0.995,0.95819,1.08337,0.51679,0.59454,0.85198,1.11457,0.000720832,0.000720832,0.000720832
20,201.623,1.14052,0.42817,0.52314,0.74711,1.15744,0.99356,1,0.995,0.6704,0.99356,1,0.995,0.93319,1.09297,0.51053,0.58731,0.69691,1.10198,0.000736084,0.000736084,0.000736084
21,211.455,1.05811,0.34866,0.48988,0.67517,1.14726,0.99394,1,0.995,0.7145,0.99394,1,0.995,0.91588,1.00097,0.51767,0.57079,0.59986,1.06603,0.00074896,0.00074896,0.00074896
22,221.22,1.16674,0.3319,0.51682,0.84394,1.32915,0.99415,1,0.995,0.77776,0.99415,1,0.995,0.90687,1.01264,0.5174,0.55508,0.65746,1.06906,0.00075946,0.00075946,0.00075946
23,231.118,1.20308,0.33331,0.48352,0.76997,1.22312,0.99381,1,0.995,0.73629,0.99381,1,0.995,0.90632,1.04645,0.50989,0.54172,0.73438,1.14525,0.000767584,0.000767584,0.000767584
24,240.955,1.18269,0.29884,0.50662,0.78194,1.19596,0.99277,1,0.995,0.78385,0.99277,1,0.995,0.88441,0.92704,0.49122,0.51091,0.58919,1.08426,0.000773332,0.000773332,0.000773332
25,250.872,1.12717,0.33366,0.52937,0.68365,1.13075,0.99011,1,0.995,0.72554,0.99011,1,0.995,0.8825,0.93969,0.50126,0.49196,0.60035,1.06838,0.000776704,0.000776704,0.000776704
26,260.588,1.35918,0.2371,0.50684,0.74603,1.31521,0.98538,1,0.995,0.72398,0.98538,1,0.995,0.88096,0.97962,0.51969,0.4773,0.62218,1.07453,0.0007777,0.0007777,0.0007777
27,270.439,0.97128,0.27521,0.48536,0.70847,1.07279,0.98473,1,0.995,0.70804,0.98473,1,0.995,0.88892,1.0378,0.50468,0.4751,0.62996,1.10007,0.00077632,0.00077632,0.00077632
28,280.265,1.35213,0.4737,0.51624,0.88555,1.29981,0.98561,1,0.995,0.71034,0.98561,1,0.995,0.87715,1.04865,0.49797,0.46958,0.70604,1.08658,0.000772564,0.000772564,0.000772564
29,290.017,1.35783,0.22244,0.45199,0.78581,1.20554,0.98561,1,0.995,0.71034,0.98561,1,0.995,0.87715,1.04865,0.49797,0.46958,0.70604,1.08658,0.000766432,0.000766432,0.000766432
30,299.713,1.25506,0.22133,0.51698,0.78386,1.2222,0.98807,1,0.995,0.70928,0.98807,1,0.995,0.87363,1.03808,0.47875,0.46524,0.69171,1.09897,0.000757924,0.000757924,0.000757924
31,309.367,1.20587,0.2135,0.41289,0.76241,1.19732,0.98685,1,0.995,0.70938,0.98685,1,0.995,0.89856,1.03998,0.44851,0.45565,0.69604,1.14773,0.00074704,0.00074704,0.00074704
32,319.109,1.18401,0.23262,0.45032,0.7448,1.2387,0.98247,1,0.995,0.74228,0.98247,1,0.995,0.91803,1.04983,0.42862,0.44936,0.74294,1.12451,0.00073378,0.00073378,0.00073378
